ds,yhat,yhat_lower,yhat_upper
2025-07-20 14:50:00,2.1381867677747746,-33.29354099508492,35.24276498905747
2025-07-20 15:50:00,0.366562504580779,-34.540741220858315,38.2065197172696
2025-07-20 16:50:00,-0.9560859182971839,-36.30329331352448,35.49251695090558
2025-07-20 17:50:00,-0.8351343243865834,-34.614633109482085,34.47130259026477
2025-07-20 18:50:00,0.3183220242929181,-30.8454358526425,34.38116519144042
2025-07-20 19:50:00,1.1057173155323312,-31.147452746088664,38.60476899945982
2025-07-20 20:50:00,0.5365638090792118,-33.176171151022025,32.77088000616532
2025-07-20 21:50:00,-0.9879683169801758,-33.682691803645454,34.22525947520613
2025-07-20 22:50:00,-2.0798234269193436,-36.70264221618657,31.182196417041
2025-07-20 23:50:00,-1.749029559162075,-35.413720649733165,34.14849158004175
